enc_name,caption_type,participant,rs
BERT,MS COCO,5,0.1136591444881011
BERT,MS COCO,6,0.186908201281778
BERT,MS COCO,7,0.1806790060987994
BERT,MS COCO,8,0.0701923193032493
BERT,LLaVA-OV,1,0.1802612966444851
BERT,LLaVA-OV,2,0.165384842829567
BERT,LLaVA-OV,3,0.0966426921953756
BERT,LLaVA-OV,4,0.1684582400346452
BERT,LLaVA-OV,5,0.1985255964337604
BERT,LLaVA-OV,6,0.2078249050567367
BERT,LLaVA-OV,7,0.2334370199051537
BERT,LLaVA-OV,8,0.1879007877469154
BERT,Phi-4,1,0.155743675555722
BERT,Phi-4,2,0.1612427451940069
BERT,Phi-4,3,0.1230680063516806
BERT,Phi-4,4,0.2556275636585601
BERT,Phi-4,5,0.2022876932754046
BERT,Phi-4,6,0.26277725601217
BERT,Phi-4,7,0.2721438828574942
BERT,Phi-4,8,0.1890494274398814
BERT,Pixtral,1,0.2351683042946527
BERT,Pixtral,2,0.1900972308555493
BERT,Pixtral,3,0.0893004122529062
BERT,Pixtral,4,0.2198647526637235
BERT,Pixtral,5,0.2434393328309753
BERT,Pixtral,6,0.2840827860992436
BERT,Pixtral,7,0.2931412990023473
BERT,Pixtral,8,0.2211290251864495
BERT,Qwen2.5-VL,1,0.1920393033073674
BERT,Qwen2.5-VL,2,0.1347983584153669
BERT,Qwen2.5-VL,3,0.1426485073413202
BERT,Qwen2.5-VL,4,0.2308167428537276
BERT,Qwen2.5-VL,5,0.2250166205539892
BERT,Qwen2.5-VL,6,0.20319425736645
BERT,Qwen2.5-VL,7,0.2318315804914455
BERT,Qwen2.5-VL,8,0.1172512258320781
BERT,Molmo,1,0.2050679673841306
BERT,Molmo,2,0.1898102141024278
BERT,Molmo,3,0.1233316759605175
BERT,Molmo,4,0.1855969992677062
BERT,Molmo,5,0.2095557233595239
BERT,Molmo,6,0.249332660133708
BERT,Molmo,7,0.2172387570390986
BERT,Molmo,8,0.1817020531786334
Llama3,MS COCO,1,0.0807891768961839
Llama3,MS COCO,2,0.1039005380758521
Llama3,MS COCO,3,0.0600099055138191
Llama3,MS COCO,4,0.0197626673005701
Llama3,MS COCO,5,0.039932550455362
Llama3,MS COCO,6,0.1430471746798338
Llama3,MS COCO,7,0.0885308531946817
Llama3,MS COCO,8,0.0574366036556664
Llama3,LLaVA-OV,1,0.1638451099426039
Llama3,LLaVA-OV,2,0.1169065656259624
Llama3,LLaVA-OV,3,0.0947958895670485
Llama3,LLaVA-OV,4,0.1640013897677552
Llama3,LLaVA-OV,5,0.1400232547703798
Llama3,LLaVA-OV,6,0.2317186807673894
Llama3,LLaVA-OV,7,0.2060860945881564
Llama3,LLaVA-OV,8,0.1097771970885383
Llama3,Phi-4,1,0.181677463209204
Llama3,Phi-4,2,0.1508071580854996
Llama3,Phi-4,3,0.1069128687949605
Llama3,Phi-4,4,0.188349016194165
Llama3,Phi-4,5,0.1419183625317404
Llama3,Phi-4,6,0.2415018769068734
Llama3,Phi-4,7,0.1771385459074371
Llama3,Phi-4,8,0.1451511914157087
Llama3,Pixtral,1,0.1951117422531333
Llama3,Pixtral,2,0.1182817712665394
Llama3,Pixtral,3,0.0684122127571494
Llama3,Pixtral,4,0.1440384133491758
Llama3,Pixtral,5,0.2238739191131044
Llama3,Pixtral,6,0.2294756542300446
Llama3,Pixtral,7,0.2160898653044983
Llama3,Pixtral,8,0.1317754110501843
Llama3,Qwen2.5-VL,1,0.1025123671056566
Llama3,Qwen2.5-VL,2,0.1001402067354141
Llama3,Qwen2.5-VL,3,0.0746207141861878
Llama3,Qwen2.5-VL,4,0.1608568737527035
Llama3,Qwen2.5-VL,5,0.2095569236828162
Llama3,Qwen2.5-VL,6,0.1987794901022783
Llama3,Qwen2.5-VL,7,0.20224496068388
Llama3,Qwen2.5-VL,8,0.1086757310088613
Llama3,Molmo,1,0.1744461416864841
Llama3,Molmo,2,0.1712975496624635
Llama3,Molmo,3,0.1221894448673705
Llama3,Molmo,4,0.143786406308979
Llama3,Molmo,5,0.1838283232076024
Llama3,Molmo,6,0.322969944823571
Llama3,Molmo,7,0.2662053714140459
Llama3,Molmo,8,0.1287804395654193
GPT-2,MS COCO,1,0.0680371067243552
GPT-2,MS COCO,2,0.0756084402248414
GPT-2,MS COCO,3,0.0521606932693642
GPT-2,MS COCO,4,0.016651845112704
GPT-2,MS COCO,5,0.0606999428836761
GPT-2,MS COCO,6,0.1330601965311285
GPT-2,MS COCO,7,0.0748069793145691
GPT-2,MS COCO,8,0.0607593241321172
GPT-2,LLaVA-OV,1,0.1423379858807174
GPT-2,LLaVA-OV,2,0.1743410211458791
GPT-2,LLaVA-OV,3,0.1376549725431599
GPT-2,LLaVA-OV,4,0.1522460353017085
GPT-2,LLaVA-OV,5,0.1431024868082391
GPT-2,LLaVA-OV,6,0.2482138342295039
GPT-2,LLaVA-OV,7,0.2100844020012659
GPT-2,LLaVA-OV,8,0.1333740175364665
GPT-2,Phi-4,1,0.1205536334886362
GPT-2,Phi-4,2,0.1578428731037862
GPT-2,Phi-4,3,0.1486035743734328
GPT-2,Phi-4,4,0.1988224385972318
GPT-2,Phi-4,5,0.1396029845539159
GPT-2,Phi-4,6,0.2636133654145744
GPT-2,Phi-4,7,0.2000173965236378
GPT-2,Phi-4,8,0.1671375986729121
GPT-2,Pixtral,1,0.2152726352118908
