enc_name,caption_type,participant,roi,acc
Qwen3 Embedding,Phi-4,6,places,0.2691410179550359
Qwen3 Embedding,Phi-4,7,all,0.3233349323900618
Qwen3 Embedding,Phi-4,7,faces,0.2700035142659057
Qwen3 Embedding,Phi-4,7,bodies,0.3522588519992075
Qwen3 Embedding,Phi-4,7,places,0.3065402026689858
Qwen3 Embedding,Phi-4,8,all,0.2398547399606871
Qwen3 Embedding,Phi-4,8,faces,0.2346162282119984
Qwen3 Embedding,Phi-4,8,bodies,0.2458858105612311
Qwen3 Embedding,Phi-4,8,places,0.2442920616250373
Qwen3 Embedding,Pixtral,1,all,0.4154297552517551
Qwen3 Embedding,Pixtral,1,faces,0.3423848993979491
Qwen3 Embedding,Pixtral,1,bodies,0.4502691315704459
Qwen3 Embedding,Pixtral,1,places,0.402177207595332
Qwen3 Embedding,Pixtral,2,all,0.3987644176709817
Qwen3 Embedding,Pixtral,2,faces,0.3053945592186759
Qwen3 Embedding,Pixtral,2,bodies,0.4131461735202287
Qwen3 Embedding,Pixtral,2,places,0.4226483877298207
Qwen3 Embedding,Pixtral,3,all,0.3326335204356485
Qwen3 Embedding,Pixtral,3,faces,0.3338074453434689
Qwen3 Embedding,Pixtral,3,bodies,0.347053915569194
Qwen3 Embedding,Pixtral,3,places,0.3270759468750155
Qwen3 Embedding,Pixtral,4,all,0.3337795781809617
Qwen3 Embedding,Pixtral,4,faces,0.2816234510519214
Qwen3 Embedding,Pixtral,4,bodies,0.3417308326633784
Qwen3 Embedding,Pixtral,4,places,0.3436210240734765
Qwen3 Embedding,Pixtral,5,all,0.4195073642592783
Qwen3 Embedding,Pixtral,5,faces,0.3816798307826492
Qwen3 Embedding,Pixtral,5,bodies,0.4063966282882713
Qwen3 Embedding,Pixtral,5,places,0.4762988697820426
Qwen3 Embedding,Pixtral,6,all,0.3263280570171806
Qwen3 Embedding,Pixtral,6,faces,0.3328149081587136
Qwen3 Embedding,Pixtral,6,bodies,0.3433946708001668
Qwen3 Embedding,Pixtral,6,places,0.3080972568984466
Qwen3 Embedding,Pixtral,7,all,0.3388938632142617
Qwen3 Embedding,Pixtral,7,faces,0.286308202651361
Qwen3 Embedding,Pixtral,7,bodies,0.3641242287208642
Qwen3 Embedding,Pixtral,7,places,0.3273181296053578
Qwen3 Embedding,Pixtral,8,all,0.2523854740587695
Qwen3 Embedding,Pixtral,8,faces,0.2523064256407942
Qwen3 Embedding,Pixtral,8,bodies,0.2556244920622566
Qwen3 Embedding,Pixtral,8,places,0.2580154512911494
Qwen3 Embedding,Qwen2.5-VL,1,all,0.415651964913004
Qwen3 Embedding,Qwen2.5-VL,1,faces,0.3384527716127461
Qwen3 Embedding,Qwen2.5-VL,1,bodies,0.4570360026732393
Qwen3 Embedding,Qwen2.5-VL,1,places,0.3963611964992032
Qwen3 Embedding,Qwen2.5-VL,2,all,0.3999742498158268
Qwen3 Embedding,Qwen2.5-VL,2,faces,0.303646688155887
Qwen3 Embedding,Qwen2.5-VL,2,bodies,0.4119286164131703
Qwen3 Embedding,Qwen2.5-VL,2,places,0.4284821303537573
Qwen3 Embedding,Qwen2.5-VL,3,all,0.3320816073361907
Qwen3 Embedding,Qwen2.5-VL,3,faces,0.3338833381306915
Qwen3 Embedding,Qwen2.5-VL,3,bodies,0.3484297496675949
Qwen3 Embedding,Qwen2.5-VL,3,places,0.3237867991341435
Qwen3 Embedding,Qwen2.5-VL,4,all,0.3363854949820842
Qwen3 Embedding,Qwen2.5-VL,4,faces,0.2811695229113189
Qwen3 Embedding,Qwen2.5-VL,4,bodies,0.3473153346886813
Qwen3 Embedding,Qwen2.5-VL,4,places,0.3424592106902147
Qwen3 Embedding,Qwen2.5-VL,5,all,0.4171626581929787
Qwen3 Embedding,Qwen2.5-VL,5,faces,0.3747856174050767
Qwen3 Embedding,Qwen2.5-VL,5,bodies,0.4042551909354953
Qwen3 Embedding,Qwen2.5-VL,5,places,0.4744988005635779
Qwen3 Embedding,Qwen2.5-VL,6,all,0.3239600722269818
Qwen3 Embedding,Qwen2.5-VL,6,faces,0.3312060193240015
Qwen3 Embedding,Qwen2.5-VL,6,bodies,0.345114469205575
Qwen3 Embedding,Qwen2.5-VL,6,places,0.2993299979323288
Qwen3 Embedding,Qwen2.5-VL,7,all,0.3429778158594497
Qwen3 Embedding,Qwen2.5-VL,7,faces,0.2867426442007642
Qwen3 Embedding,Qwen2.5-VL,7,bodies,0.3693536389892135
Qwen3 Embedding,Qwen2.5-VL,7,places,0.3308463825786137
Qwen3 Embedding,Qwen2.5-VL,8,all,0.2475643734209851
Qwen3 Embedding,Qwen2.5-VL,8,faces,0.2452398908837521
Qwen3 Embedding,Qwen2.5-VL,8,bodies,0.2514152635217982
Qwen3 Embedding,Qwen2.5-VL,8,places,0.2532926722761077
Qwen3 Embedding,Molmo,1,all,0.4086711028077341
Qwen3 Embedding,Molmo,1,faces,0.336773350925376
Qwen3 Embedding,Molmo,1,bodies,0.4446460313628612
Qwen3 Embedding,Molmo,1,places,0.3931494721263385
Qwen3 Embedding,Molmo,2,all,0.3971007249992548
Qwen3 Embedding,Molmo,2,faces,0.3062226875709686
Qwen3 Embedding,Molmo,2,bodies,0.4067322942839961
Qwen3 Embedding,Molmo,2,places,0.4260239118315825
Qwen3 Embedding,Molmo,3,all,0.3334167732030109
Qwen3 Embedding,Molmo,3,faces,0.3343296956403896
Qwen3 Embedding,Molmo,3,bodies,0.3473131635386215
Qwen3 Embedding,Molmo,3,places,0.3289069185728306
Qwen3 Embedding,Molmo,4,all,0.329015849383279
Qwen3 Embedding,Molmo,4,faces,0.2772383574837044
Qwen3 Embedding,Molmo,4,bodies,0.3404799673648934
Qwen3 Embedding,Molmo,4,places,0.3332569225696012
Qwen3 Embedding,Molmo,5,all,0.4163912650285441
Qwen3 Embedding,Molmo,5,faces,0.378843333570507
